cell_id,year,region_group,eligible_primary,event_primary,annual_area_m2_primary,eligible_variant,event_variant,annual_area_m2_variant,variant
westcoast_0281,2014,Baja California Norte,True,0,415546.0,True,1,213081.5,fixedpre_protocol_mean
westcoast_0285,2022,Baja California Norte,True,1,138002.0,True,0,50489.25,fixedpre_protocol_mean
westcoast_0299,2012,Baja California Norte,True,0,1114201.0,True,1,680936.0,fixedpre_protocol_mean
westcoast_0299,2022,Baja California Norte,True,0,180234.0,True,1,116499.5,fixedpre_protocol_mean
westcoast_0305,2007,Baja California Norte,True,0,138656.0,True,1,101373.25,fixedpre_protocol_mean
westcoast_0306,2012,Baja California Norte,True,0,1873112.0,True,1,955335.0,fixedpre_protocol_mean
westcoast_0307,2005,Baja California Norte,True,0,226614.0,True,1,163480.5,fixedpre_protocol_mean
westcoast_0307,2011,Baja California Norte,True,0,391099.0,True,1,243594.0,fixedpre_protocol_mean
westcoast_0320,2018,Baja California Sur,True,1,3502573.0,True,0,1522288.75,fixedpre_protocol_mean
westcoast_0321,2021,Baja California Sur,True,0,169221.0,True,1,98596.75,fixedpre_protocol_mean
westcoast_0017,2023,Washington outer coast,True,1,48111.0,True,0,40504.0,fixedpre_protocol_q23max
westcoast_0038,2011,Oregon,True,0,196943.0,True,1,196943.0,fixedpre_protocol_q23max
westcoast_0038,2015,Oregon,True,1,60304.0,True,0,47160.0,fixedpre_protocol_q23max
westcoast_0041,2005,Oregon,True,0,39774.0,True,1,18692.0,fixedpre_protocol_q23max
westcoast_0041,2008,Oregon,True,0,9970.0,True,1,9970.0,fixedpre_protocol_q23max
westcoast_0041,2010,Oregon,True,1,129107.0,True,0,7168.0,fixedpre_protocol_q23max
westcoast_0041,2013,Oregon,True,1,26477.0,True,0,9297.0,fixedpre_protocol_q23max
westcoast_0074,2006,Northern California,True,1,31829.0,True,0,2817.0,fixedpre_protocol_q23max
westcoast_0074,2011,Northern California,True,0,10595.0,True,1,10595.0,fixedpre_protocol_q23max
westcoast_0081,2005,Northern California,True,0,18255.0,True,1,18255.0,fixedpre_protocol_q23max
westcoast_0082,2005,Northern California,True,0,131460.0,True,1,131460.0,fixedpre_protocol_q23max
