domain,model_family,feature_set,year,n,events,prevalence,ap,ap_lift
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,2024,138,39,0.2826086956521739,0.392404663353193,0.10979596770101913
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,2005,207,129,0.6231884057971014,0.7650237941297238,0.14183538833262233
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,2006,191,39,0.20418848167539266,0.6823797138050878,0.4781912321296951
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,2007,217,71,0.3271889400921659,0.362238236785061,0.03504929669289508
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,2008,216,61,0.2824074074074074,0.5832715659165387,0.30086415850913134
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,2009,228,99,0.4342105263157895,0.5215828499463774,0.08737232363058789
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,2010,225,136,0.6044444444444445,0.7298858620191615,0.12544141757471705
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,2011,186,65,0.34946236559139787,0.45378023187964056,0.10431786628824269
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,2012,196,28,0.14285714285714285,0.6343206784350292,0.4914635355778863
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,2013,230,185,0.8043478260869565,0.8306121184137036,0.026264292326747096
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,2014,188,73,0.3882978723404255,0.49043738759990396,0.10213951525947845
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,2015,163,53,0.32515337423312884,0.38924550334487207,0.06409212911174322
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,2016,168,71,0.4226190476190476,0.508841077718504,0.08622203009945634
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,2017,175,36,0.2057142857142857,0.26035383199210144,0.054639546277815726
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,2018,181,156,0.861878453038674,0.8952820151546867,0.0334035621160127
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,2019,123,21,0.17073170731707318,0.3328254347760566,0.1620937274589834
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,2020,156,56,0.358974358974359,0.33751713548689843,-0.02145722348746054
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,2021,161,46,0.2857142857142857,0.4621325984971864,0.1764183127829007
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,2022,160,126,0.7875,0.7510719636125383,-0.036428036387461726
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,2023,111,10,0.09009009009009009,0.2493133352766342,0.15922324518654413
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst_cuti_beuti,2024,138,39,0.2826086956521739,0.4497035932693558,0.16709489761718188
upwelling_supported_domain,lambdamart_ranker,current_only,2005,207,129,0.6231884057971014,0.7335143126168753,0.11032590681977383
upwelling_supported_domain,lambdamart_ranker,current_only,2006,191,39,0.20418848167539266,0.523907396460179,0.31971891478478637
upwelling_supported_domain,lambdamart_ranker,current_only,2007,217,71,0.3271889400921659,0.5860736367791127,0.2588846966869468
upwelling_supported_domain,lambdamart_ranker,current_only,2008,216,61,0.2824074074074074,0.6009075434874522,0.31850013608004485
upwelling_supported_domain,lambdamart_ranker,current_only,2009,228,99,0.4342105263157895,0.5822326515376199,0.14802212522183045
upwelling_supported_domain,lambdamart_ranker,current_only,2010,225,136,0.6044444444444445,0.7625171232148884,0.15807267877044395
upwelling_supported_domain,lambdamart_ranker,current_only,2011,186,65,0.34946236559139787,0.5826212781426869,0.23315891255128907
upwelling_supported_domain,lambdamart_ranker,current_only,2012,196,28,0.14285714285714285,0.5649198359127143,0.4220626930555715
upwelling_supported_domain,lambdamart_ranker,current_only,2013,230,185,0.8043478260869565,0.8424755318900531,0.038127705803096545
upwelling_supported_domain,lambdamart_ranker,current_only,2014,188,73,0.3882978723404255,0.5726438329795014,0.18434596063907588
upwelling_supported_domain,lambdamart_ranker,current_only,2015,163,53,0.32515337423312884,0.49267782362335577,0.16752444939022693
upwelling_supported_domain,lambdamart_ranker,current_only,2016,168,71,0.4226190476190476,0.5684972480194932,0.14587820040044558
upwelling_supported_domain,lambdamart_ranker,current_only,2017,175,36,0.2057142857142857,0.307100126418463,0.1013858407041773
upwelling_supported_domain,lambdamart_ranker,current_only,2018,181,156,0.861878453038674,0.8845176642649653,0.0226392112262912
upwelling_supported_domain,lambdamart_ranker,current_only,2019,123,21,0.17073170731707318,0.32612820482247357,0.15539649750540038
upwelling_supported_domain,lambdamart_ranker,current_only,2020,156,56,0.358974358974359,0.34189488515431504,-0.017079473820043933
upwelling_supported_domain,lambdamart_ranker,current_only,2021,161,46,0.2857142857142857,0.3754644920228298,0.08975020630854408
upwelling_supported_domain,lambdamart_ranker,current_only,2022,160,126,0.7875,0.810912491382153,0.023412491382153067
upwelling_supported_domain,lambdamart_ranker,current_only,2023,111,10,0.09009009009009009,0.19085248587525405,0.10076239578516397
upwelling_supported_domain,lambdamart_ranker,current_only,2024,138,39,0.2826086956521739,0.38967267102494063,0.10706397537276674
upwelling_supported_domain,lambdamart_ranker,current_plus_trajectory,2005,207,129,0.6231884057971014,0.7389025988653819,0.11571419306828046
upwelling_supported_domain,lambdamart_ranker,current_plus_trajectory,2006,191,39,0.20418848167539266,0.5389352295373735,0.33474674786198083
upwelling_supported_domain,lambdamart_ranker,current_plus_trajectory,2007,217,71,0.3271889400921659,0.594457306215267,0.2672683661231011
upwelling_supported_domain,lambdamart_ranker,current_plus_trajectory,2008,216,61,0.2824074074074074,0.532865337416349,0.2504579300089416
upwelling_supported_domain,lambdamart_ranker,current_plus_trajectory,2009,228,99,0.4342105263157895,0.6209015696306033,0.1866910433148138
upwelling_supported_domain,lambdamart_ranker,current_plus_trajectory,2010,225,136,0.6044444444444445,0.7693125864426273,0.1648681419981829
upwelling_supported_domain,lambdamart_ranker,current_plus_trajectory,2011,186,65,0.34946236559139787,0.659551795771136,0.3100894301797381
upwelling_supported_domain,lambdamart_ranker,current_plus_trajectory,2012,196,28,0.14285714285714285,0.5884920781105882,0.4456349352534454
