outcome,axis,left_out_overlap_cluster,reference_estimate_per_sd,estimate_per_sd,absolute_change,same_direction_as_reference,n,remaining_overlap_clusters,years
mur_brier_gain,rock_probability,s300_c009,-0.009641288145274263,-0.009438646246056915,0.00020264189921734808,True,751,119,14
mur_brier_gain,rock_probability,s300_c010,-0.009641288145274263,-0.009515112533702023,0.00012617561157223997,True,744,119,14
mur_brier_gain,rock_probability,s300_c011,-0.009641288145274263,-0.009172500968737597,0.0004687871765366655,True,747,119,14
mur_brier_gain,rock_probability,s300_c012,-0.009641288145274263,-0.008962061274743617,0.0006792268705306456,True,743,119,14
mur_brier_gain,rock_probability,s300_c013,-0.009641288145274263,-0.009738716098472863,9.742795319860054e-05,True,730,119,14
mur_brier_gain,rock_probability,s300_c014,-0.009641288145274263,-0.009648157999455176,6.869854180913126e-06,True,750,119,14
mur_brier_gain,rock_probability,s300_c015,-0.009641288145274263,-0.009740412894659867,9.91247493856047e-05,True,746,119,14
mur_brier_gain,rock_probability,s300_c016,-0.009641288145274263,-0.012437927194775187,0.0027966390495009243,True,678,119,14
mur_brier_gain,rock_probability,s300_c019,-0.009641288145274263,-0.009795083226593407,0.0001537950813191441,True,747,119,14
mur_brier_gain,rock_probability,s300_c020,-0.009641288145274263,-0.009402647683199379,0.0002386404620748836,True,748,119,14
mur_brier_gain,rock_probability,s300_c021,-0.009641288145274263,-0.009704148512596295,6.286036732203182e-05,True,748,119,14
mur_brier_gain,rock_probability,s300_c022,-0.009641288145274263,-0.010196258614076279,0.0005549704688020164,True,748,119,14
mur_brier_gain,rock_probability,s300_c023,-0.009641288145274263,-0.009492429687765164,0.0001488584575090983,True,746,119,14
mur_brier_gain,rock_probability,s300_c025,-0.009641288145274263,-0.009524136359756276,0.00011715178551798683,True,750,119,14
mur_brier_gain,rock_probability,s300_c026,-0.009641288145274263,-0.009099959715308007,0.000541328429966256,True,750,119,14
mur_brier_gain,rock_probability,s300_c027,-0.009641288145274263,-0.009864886890726619,0.0002235987454523563,True,751,119,14
mur_brier_gain,rock_probability,s300_c028,-0.009641288145274263,-0.009755403782432441,0.00011411563715817835,True,751,119,14
mur_brier_gain,rock_probability,s300_c029,-0.009641288145274263,-0.009656545310006048,1.5257164731784928e-05,True,750,119,14
mur_brier_gain,rock_probability,s300_c030,-0.009641288145274263,-0.009611268017303306,3.0020127970957142e-05,True,750,119,14
mur_brier_gain,rock_probability,s300_c031,-0.009641288145274263,-0.009656257386547884,1.4969241273620967e-05,True,748,119,14
mur_brier_gain,rock_probability,s300_c032,-0.009641288145274263,-0.010065644277690154,0.0004243561324158915,True,751,119,14
mur_brier_gain,rock_probability,s300_c033,-0.009641288145274263,-0.009392872362415816,0.00024841578285844657,True,751,119,14
mur_brier_gain,rock_probability,s300_c034,-0.009641288145274263,-0.009448316841930635,0.0001929713033436281,True,749,119,14
mur_brier_gain,rock_probability,s300_c035,-0.009641288145274263,-0.009618501659794793,2.278648547946946e-05,True,746,119,14
mur_brier_gain,rock_probability,s300_c037,-0.009641288145274263,-0.009705482574609367,6.419442933510398e-05,True,748,119,14
mur_brier_gain,rock_probability,s300_c038,-0.009641288145274263,-0.008901108665535585,0.0007401794797386781,True,745,119,14
mur_brier_gain,rock_probability,s300_c039,-0.009641288145274263,-0.009638665875248384,2.622270025879128e-06,True,751,119,14
mur_brier_gain,rock_probability,s300_c040,-0.009641288145274263,-0.00984799808777177,0.0002067099424975065,True,750,119,14
mur_brier_gain,rock_probability,s300_c041,-0.009641288145274263,-0.009623956655022935,1.733149025132802e-05,True,751,119,14
mur_brier_gain,rock_probability,s300_c044,-0.009641288145274263,-0.009629325752250041,1.1962393024221585e-05,True,749,119,14
mur_brier_gain,rock_probability,s300_c045,-0.009641288145274263,-0.009598213916205196,4.307422906906638e-05,True,751,119,14
mur_brier_gain,rock_probability,s300_c046,-0.009641288145274263,-0.009487886666073385,0.00015340147920087782,True,751,119,14
mur_brier_gain,rock_probability,s300_c047,-0.009641288145274263,-0.009695805790027674,5.451764475341084e-05,True,750,119,14
mur_brier_gain,rock_probability,s300_c048,-0.009641288145274263,-0.00948702764496857,0.00015426050030569252,True,748,119,14
mur_brier_gain,rock_probability,s300_c049,-0.009641288145274263,-0.009648422633037935,7.1344877636721205e-06,True,751,119,14
